web-scraper-order,web-scraper-start-url,Links,Links-href,name,address,city,state,zip,phone,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close
"1642148467-316","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/2165a-white-plains-road.html","Taco Bell","2165A White Plains Road","Bronx","NY","10462","(347) 398-9550","10:00 AM","5:15 AM","10:00 AM","5:15 AM","10:00 AM","5:15 AM","10:00 AM","5:15 AM","10:00 AM","5:15 AM","10:00 AM","5:15 AM","10:00 AM","5:15 AM"
"1642148453-310","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/880-river-avenue.html","Taco Bell Cantina","880 River Avenue","Bronx","NY","10452","(347) 963-4445","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM"
"1642148458-312","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/450-east-149-st-.html","Taco Bell","450 East 149 St.","Bronx","NY","10451","(718) 705-0790","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","12:00 AM","7:00 AM","12:00 AM","7:00 AM","12:00 AM","7:00 AM","12:00 AM","7:00 AM","12:00 AM"
"1642148472-318","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/1889-bruckner-blvd.html","Taco Bell","1889 Bruckner Blvd","Bronx","NY","10472","(718) 822-5831","9:00 AM","3:00 AM","9:00 AM","3:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","3:00 AM"
"1642148456-311","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/8-w-fordham-rd.html","Taco Bell","8 W Fordham Rd","Bronx","NY","10468","(718) 684-4836","7:00 AM","2:00 AM","11:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM"
"1642148451-309","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/961-e-174th-street.html","Taco Bell","961 E 174th Street","Bronx","NY","10460","(718) 328-1467","9:00 AM","11:00 PM","9:00 AM","11:00 PM","9:00 AM","10:00 PM","9:00 AM","10:00 PM","9:00 AM","10:00 PM","9:00 AM","10:00 PM","9:00 AM","11:00 PM"
"1642148463-314","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/3351-conners-street.html","Taco Bell","3351 Conners Street","Bronx","NY","10475","(347) 346-4122","9:00 AM","3:00 AM","9:00 AM","3:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","2:00 AM","9:00 AM","3:00 AM"
"1642148477-320","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/1058-southern-blvd.html","Taco Bell","1058 Southern Blvd","Bronx","NY","10459","(929) 562-3173","8:00 AM","2:15 AM","8:00 AM","2:15 AM","8:00 AM","2:15 AM","8:00 AM","2:15 AM","8:00 AM","2:15 AM","8:00 AM","2:15 AM","8:00 AM","2:15 AM"
"1642148460-313","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/361-e--fordham-road.html","Taco Bell","361 E. Fordham Road","Bronx","NY","10458","(347) 591-4922","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM"
"1642148465-315","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/249-east-149th-st-.html","Taco Bell","249 East 149th St.","Bronx","NY","10451","(718) 705-0237","10:00 AM","5:00 AM","10:00 AM","5:00 AM","10:00 AM","5:00 AM","10:00 AM","5:00 AM","10:00 AM","5:00 AM","10:00 AM","5:00 AM","10:00 AM","5:00 AM"
"1642148470-317","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/2036-jerome-avenue.html","Taco Bell","2036 Jerome Avenue","Bronx","NY","10453","(718) 618-7490","7:00 AM","3:00 AM","11:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","3:00 AM"
"1642148475-319","https://locations.tacobell.com/ny/bronx.html","View Page","https://locations.tacobell.com/ny/bronx/1731-webster-avenue.html","Taco Bell","1731 Webster Avenue","Bronx","NY","10457","(718) 299-2227","6:00 AM","11:00 PM","6:00 AM","11:00 PM","6:00 AM","11:00 PM","6:00 AM","11:00 PM","6:00 AM","11:00 PM","6:00 AM","11:00 PM","6:00 AM","11:00 PM"
