web-scraper-order,web-scraper-start-url,Links,Links-href,name,address,city,state,zip,phone,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close
"1642148554-322","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/809-grand-street.html","Taco Bell","809 Grand Street","Brooklyn","NY","11211","(929) 379-4030","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","9:00 PM"
"1642148582-334","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/1034-flatbush-ave.html","Taco Bell Cantina","1034 Flatbush Ave","Brooklyn","NY","11226","(718) 484-8082","7:00 AM","3:00 AM","7:00 AM","3:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","2:00 AM"
"1642148580-333","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/1047-surf-ave.html","Taco Bell","1047 Surf Ave","Brooklyn","NY","11224","(929) 481-8601","10:00 AM","12:00 AM","10:00 AM","12:00 AM","10:00 AM","12:00 AM","10:00 AM","12:00 AM","10:00 AM","12:00 AM","10:00 AM","12:00 AM","10:00 AM","12:00 AM"
"1642148573-330","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/1665-pitkin-avenue.html","Taco Bell","1665 Pitkin Avenue","Brooklyn","NY","11212","(929) 379-5080","7:00 AM","10:00 PM","11:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM"
"1642148566-327","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/2026-coney-island-ave.html","Taco Bell","2026 Coney Island Ave","Brooklyn","NY","11223","(718) 375-0234","10:00 AM","2:00 AM","10:00 AM","2:00 AM","10:00 AM","1:00 AM","10:00 AM","1:00 AM","10:00 AM","1:00 AM","10:00 AM","1:00 AM","10:00 AM","1:00 AM"
"1642148568-328","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/1977-86th-street.html","Taco Bell","1977 86th Street","Brooklyn","NY","11214","(929) 480-6653","8:00 AM","10:00 PM","11:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM"
"1642148559-324","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/5118-5th-avenue.html","Taco Bell Cantina","5118 5th Avenue","Brooklyn","NY","11220","(929) 480-0545","8:00 AM","10:00 PM","11:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM","8:00 AM","1:00 AM"
"1642148552-321","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/8625-4th-ave-.html","Taco Bell","8625 4th Ave.","Brooklyn","NY","11209","(347) 722-7803","9:00 AM","4:00 AM","9:00 AM","4:00 AM","9:00 AM","3:00 AM","9:00 AM","3:00 AM","9:00 AM","3:00 AM","9:00 AM","3:00 AM","9:00 AM","3:00 AM"
"1642148564-326","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/208-mcguinness-boulevard.html","Taco Bell","208 McGuinness Boulevard","Brooklyn","NY","11222","(718) 383-6666","10:30 AM","11:00 PM","10:30 AM","11:00 PM","11:00 AM","10:00 PM","10:30 AM","11:00 PM","10:30 AM","11:00 PM","10:30 AM","11:00 PM","10:30 AM","11:00 PM"
"1642148561-325","https://locations.tacobell.com/ny/brooklyn.html","View Page","https://locations.tacobell.com/ny/brooklyn/491-nostrand-ave.html","Taco Bell","491 Nostrand Ave","Brooklyn","NY","11216","(718) 484-4278","7:00 AM","2:00 AM","7:00 AM","2:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM","7:00 AM","1:00 AM"
