web-scraper-order,web-scraper-start-url,Links,Links-href,name,address,city,state,zip,phone,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close
1642147570-231,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/175-dyckman-street.html,Taco Bell,175 Dyckman Street,New York City,NY,10034,(917) 475-1272,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM
1642147548-222,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/390-8th-avenue.html,Taco Bell,390 8th Avenue,New York City,NY,10001,(646) 476-7444,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,11:30 PM,12:00 PM,11:30 PM,12:00 PM,11:30 PM,12:00 PM,11:30 PM,12:00 PM,11:30 PM
1642147555-225,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/246-e-23rd-st.html,Taco Bell,246 E 23rd St,New York City,NY,10010,(929) 506-5692,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147579-235,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1501-broadway.html,Taco Bell Cantina,1501 Broadway,New York City,NY,10036,(332) 213-5224,8:00 AM,4:00 AM,8:00 AM,5:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM
1642147582-236,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1351-st--nicholas-ave-.html,Taco Bell,1351 St. Nicholas Ave.,New York City,NY,10033,(646) 727-7693,10:00 AM,4:00 AM,10:00 AM,4:00 AM,11:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,4:00 AM
1642147545-221,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/500-8th-avenue.html,Taco Bell Cantina,500 8th Avenue,New York City,NY,10018,(929) 232-3040,8:00 AM,4:00 AM,8:00 AM,5:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM
1642147586-238,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1258-lexington-avenue.html,Taco Bell,1258 Lexington Avenue,New York City,NY,10028,(332) 877-4555,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147543-220,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/545-6th-ave.html,Taco Bell,545 6th Ave,New York City,NY,10011,(646) 484-9960,8:00 AM,4:30 AM,8:00 AM,4:30 AM,8:00 AM,1:30 AM,8:00 AM,1:30 AM,8:00 AM,1:30 AM,8:00 AM,1:30 AM,8:00 AM,1:30 AM
1642147584-237,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1266-1st-ave.html,Taco Bell,1266 1st Ave,New York City,NY,10065,(347) 815-2622,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147550-223,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/3645-broadway.html,Taco Bell,3645 Broadway,New York City,NY,10031,(212) 491-9151,11:00 AM,12:00 AM,11:00 AM,12:00 AM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM
